
Date        West     East     DMI(=West-East)
1884:4:16:0 -0.0257518 -0.311909 0.286157
1884:5:16:0 0.1405 -0.329578 0.470078
1884:6:16:0 -0.255592 -0.272961 0.0173687
1884:7:16:0 0.115447 -0.199295 0.314741
1884:8:16:0 0.0929321 0.0887052 0.0042269
1884:9:16:0 0.072686 0.150918 -0.0782325
1884:10:16:0 -0.0171677 -0.0502365 0.0330689
1884:11:16:0 -0.228279 -0.0347121 -0.193567
1884:12:16:0 -0.188786 -0.00885909 -0.179927
1885:1:16:0 -0.213956 0.0666575 -0.280614
1885:2:16:0 -0.265624 -0.373813 0.108188
1885:3:16:0 -0.211989 -0.210676 -0.00131214
1885:4:16:0 -0.222648 -0.224739 0.00209086
1885:5:16:0 -0.237044 -0.256517 0.0194733
1885:6:16:0 -0.422943 -0.513104 0.0901612
1885:7:16:0 -0.426839 -0.531409 0.10457
1885:8:16:0 -0.29982 -0.388923 0.089103
1885:9:16:0 -0.162529 -0.211864 0.0493352
1885:10:16:0 -0.150132 -0.313089 0.162957
1885:11:16:0 -0.190665 0.00536082 -0.196026
1885:12:16:0 -0.146563 0.0141734 -0.160736
1886:1:16:0 -0.158642 0.264356 -0.422998
1886:2:16:0 -0.344319 0.229895 -0.574214
1886:3:16:0 0.0395253 0.327209 -0.287684
1886:4:16:0 0.130294 0.198682 -0.068388
1886:5:16:0 -0.145492 0.0707098 -0.216202
1886:6:16:0 -0.317826 -0.182681 -0.135145
1886:7:16:0 -0.484976 -0.0828733 -0.402102
1886:8:16:0 -0.417547 0.179538 -0.597085
1886:9:16:0 -0.507811 0.073082 -0.580894
1886:10:16:0 -0.592136 -0.0996418 -0.492494
1886:11:16:0 -0.520041 -0.117729 -0.402312
1886:12:16:0 -0.706735 -0.387925 -0.31881
1887:1:16:0 -0.450063 -0.179039 -0.271024
1887:2:16:0 -0.409198 -0.216045 -0.193153
1887:3:16:0 -0.325043 -0.223347 -0.101696
1887:4:16:0 -0.468411 -0.424661 -0.04375
1887:5:16:0 -0.505959 -0.454427 -0.0515314
1887:6:16:0 -0.440436 -0.494424 0.0539877
1887:7:16:0 -0.26 -0.354798 0.0947975
1887:8:16:0 -0.13131 -0.432105 0.300795
1887:9:16:0 -0.554319 -0.663686 0.109367
1887:10:16:0 -0.406921 -0.290757 -0.116164
1887:11:16:0 -0.335291 -0.330564 -0.00472671
1887:12:16:0 -0.467536 -0.409233 -0.0583034
1888:1:16:0 -0.641189 -0.491255 -0.149934
1888:2:16:0 -0.484031 -0.0670531 -0.416977
1888:3:16:0 -0.501533 0.0520958 -0.553629
1888:4:16:0 -0.494016 0.14642 -0.640436
1888:5:16:0 -0.181815 0.0875399 -0.269355
1888:6:16:0 -0.31889 -0.112856 -0.206034
1888:7:16:0 -0.307021 -0.176505 -0.130516
1888:8:16:0 -0.045853 0.0080425 -0.0538955
1888:9:16:0 -0.240858 -0.115626 -0.125232
1888:10:16:0 0.0412201 0.0842589 -0.0430388
1888:11:16:0 -0.106916 0.173697 -0.280613
1888:12:16:0 -0.0888092 0.129667 -0.218476
1889:1:16:0 -0.13911 0.343505 -0.482615
1889:2:16:0 0.0846758 0.147194 -0.062518
1889:3:16:0 -0.0477326 0.438904 -0.486637
1889:4:16:0 -0.262246 0.348319 -0.610564
1889:5:16:0 -0.0925383 0.339526 -0.432065
1889:6:16:0 -0.261278 0.0772982 -0.338577
1889:7:16:0 -0.142943 0.0465835 -0.189526
1889:8:16:0 -0.224821 0.115732 -0.340553
1889:9:16:0 -0.346843 0.167738 -0.514582
1889:10:16:0 -0.65142 0.0853941 -0.736814
1889:11:16:0 -0.654304 -0.0748927 -0.579412
1889:12:16:0 -0.517756 -0.354276 -0.163481
1890:1:16:0 -0.496714 -0.592385 0.0956718
1890:2:16:0 -0.424393 -0.554651 0.130257
1890:3:16:0 -0.23115 -0.199573 -0.0315776
1890:4:16:0 -0.391481 -0.387467 -0.00401407
1890:5:16:0 -0.587218 -0.478376 -0.108841
1890:6:16:0 -0.837153 -0.294897 -0.542257
1890:7:16:0 -0.907419 -0.322689 -0.58473
1890:8:16:0 -0.899219 -0.524454 -0.374765
1890:9:16:0 -1.01616 -0.346221 -0.669935
1890:10:16:0 -0.934868 -0.175083 -0.759785
1890:11:16:0 -0.93635 -0.320345 -0.616005
1890:12:16:0 -0.645807 -0.311615 -0.334192
1891:1:16:0 -0.48128 -0.359398 -0.121882
1891:2:16:0 -0.453866 -0.0633368 -0.390529
1891:3:16:0 -0.386165 0.0567358 -0.442901
1891:4:16:0 -0.225361 -0.140069 -0.0852914
1891:5:16:0 -0.332141 -0.229993 -0.102148
1891:6:16:0 -0.216506 -0.333228 0.116722
1891:7:16:0 -0.470067 -0.492315 0.0222486
1891:8:16:0 -0.319839 -0.624471 0.304632
1891:9:16:0 -0.261779 -0.584833 0.323054
1891:10:16:0 -0.248836 -0.525546 0.27671
1891:11:16:0 -0.257975 -0.403922 0.145946
1891:12:16:0 -0.0969115 -0.389715 0.292804
1892:1:16:0 -0.14551 -0.0930644 -0.0524459
1892:2:16:0 0.00529073 0.13962 -0.134329
1892:3:16:0 -0.155768 -0.127753 -0.0280147
1892:4:16:0 -0.215854 -0.109518 -0.106336
1892:5:16:0 -0.054038 -0.00403276 -0.0500053
1892:6:16:0 -0.0776931 0.188878 -0.266572
1892:7:16:0 -0.499042 -0.175984 -0.323058
1892:8:16:0 -0.651886 0.0712293 -0.723115
1892:9:16:0 -0.542454 0.228332 -0.770785
1892:10:16:0 -0.721698 -0.302932 -0.418766
1892:11:16:0 -0.675495 -0.510439 -0.165056
1892:12:16:0 -0.786004 -0.526893 -0.25911
1893:1:16:0 -0.744217 -0.495312 -0.248905
1893:2:16:0 -0.722435 -0.453597 -0.268839
1893:3:16:0 -0.344478 -0.109579 -0.234899
1893:4:16:0 -0.52275 -0.15419 -0.36856
1893:5:16:0 -0.53494 -0.251777 -0.283162
1893:6:16:0 -0.537019 -0.240015 -0.297004
1893:7:16:0 -0.342743 -0.118244 -0.224499
1893:8:16:0 -0.473064 -0.0395193 -0.433545
1893:9:16:0 -0.417549 -0.134356 -0.283193
1893:10:16:0 -0.498206 -0.109146 -0.38906
1893:11:16:0 -0.531613 -0.307502 -0.224111
1893:12:16:0 -0.45544 -0.328647 -0.126793
1894:1:16:0 -0.38684 -0.505887 0.119047
